// Compost colors for oldguns. You may add your own colors, change existing ones, or remove colors that aren't needed.
bark_strands, #987a47
liquid_niter_bottle, #dadede
liquid_niter_cauldron, #656466
long_match, #896428
match_cord, #89765b
matchlock_arquebus, #ffffff
matchlock_blunderbuss, #cfc2ac
matchlock_blunderbuss_pistol, #ffffff
matchlock_caliver, #e7d7be
matchlock_derringer, #ffffff
matchlock_long_musket, #d4c6af
matchlock_mechanism, #ffffff
matchlock_musket, #dacdb6
matchlock_musketoon, #e0d3b9
matchlock_pistol, #ffffff
matchlock_repair_parts, #6f6e6b
medium_brass_barrel, #bebbb2
medium_brass_flared_barrel, #c2beb4
medium_grade_black_powder, #685f58
medium_iron_barrel, #b9b8b6
medium_iron_birdshot, #ffffff
medium_iron_buckshot, #ffffff
medium_iron_canister_shot, #ffffff
medium_iron_cannon_barrel, #ffffff
medium_iron_cannonball, #ffffff
medium_iron_explosive_rocket, #8e826e
medium_iron_explosive_shell, #ffffff
medium_iron_flared_barrel, #bcbbb9
medium_iron_grapeshot, #fffffa
medium_iron_musket_ball, #ffffff
medium_iron_musket_ball_high_grade_paper_cartridge, #fffffb
medium_iron_musket_ball_medium_grade_paper_cartridge, #fffffb
medium_lead_birdshot, #ffffff
medium_lead_buckshot, #ffffff
medium_lead_musket_ball, #ffffff
medium_lead_musket_ball_high_grade_paper_cartridge, #fffefb
medium_lead_musket_ball_medium_grade_paper_cartridge, #fffefb
medium_naval_cannon, #ffffff
medium_powder_charge, #ffffff
medium_stone_barrel, #ffffff
medium_stone_birdshot, #ffffff
medium_stone_flared_barrel, #ffffff
medium_stone_musket_ball, #ffffff
medium_stone_musket_ball_low_grade_paper_cartridge, #f4f4ed
medium_stone_musket_ball_medium_grade_paper_cartridge, #f4f4ed
medium_wooden_carriage_wheel, #fffce8
medium_wooden_handle, #ffffff
medium_wooden_naval_carriage, #fffff5
medium_wooden_stock, #ffffff
mercury_ingot, #c6ccd2
mercury_nugget, #c6ccd0
mortar_and_pestle, #eddddd
musketeer_hat, #473233
niter, #ffffff
nitrate_soil, #836b50
percussion_cap, #b6ae87
percussion_cap_cone, #ffffff
percussion_powder, #989898
powder_horn, #ffffff
ram_rod, #a08e6e
repair_kit, #9e9184
rocket_powder, #484848
small_brass_barrel, #c3c0b9
small_brass_flared_barrel, #cdccc5
small_iron_barrel, #c0bfbc
small_iron_birdshot, #ffffff
small_iron_buckshot, #ffffff
small_iron_cannon_barrel, #ffffff
small_iron_flared_barrel, #cac9c8
small_iron_musket_ball, #ffffff
small_iron_musket_ball_high_grade_paper_cartridge, #fffff8
small_iron_musket_ball_medium_grade_paper_cartridge, #fffff8
small_lead_birdshot, #ffffff
small_lead_buckshot, #ffffff
small_lead_musket_ball, #ffffff
small_lead_musket_ball_high_grade_paper_cartridge, #fffffb
small_lead_musket_ball_medium_grade_paper_cartridge, #fffffb
small_powder_charge, #ffffff
small_stone_barrel, #ffffff
small_stone_birdshot, #ffffff
small_stone_flared_barrel, #ffffff
small_stone_musket_ball, #ffffff
small_stone_musket_ball_low_grade_paper_cartridge, #9b988a
small_stone_musket_ball_medium_grade_paper_cartridge, #9b988a
small_wooden_carriage_wheel, #ffffff
small_wooden_handle, #ffffff
small_wooden_naval_carriage, #ffffff
small_wooden_stock, #ffffff
sulfur, #d7c228
tiny_brass_barrel, #c3c0b9
tiny_iron_barrel, #c0bfbc
tiny_stone_barrel, #ffffff
tiny_wooden_carriage_wheel, #ffffff
waxed_paper, #fffec6
wheellock_arquebus, #ffffff
wheellock_blunderbuss, #dad2c2
wheellock_blunderbuss_pistol, #ffffff
wheellock_caliver, #f7eddc
wheellock_derringer, #ffffff
wheellock_doublebarrel_pistol, #eee7dc
wheellock_hand_mortar, #ffffff
wheellock_long_musket, #e0d7c6
wheellock_mechanism, #ffffff
wheellock_musket, #e4dccc
wheellock_musketoon, #ebe1d2
wheellock_pistol, #ffffff
wheellock_repair_parts, #737272
wood_gear_set, #ffffea
wood_trigger_assembly, #f2ede3
